Compound,acceptorcount,accsitecount,Aliphatic ring count,Aromatic atom count,Aromatic ring count,ASA,ASA+,ASA-,ASA_H,ASA_P,ASA.1,ASA+.1,ASA-.1,ASA_H.1,ASA_P.1,ASA.2,ASA+.2,ASA-.2,ASA_H.2,ASA_P.2,ASA.3,ASA+.3,ASA-.3,ASA_H.3,ASA_P.3,ASA.4,ASA+.4,ASA-.4,ASA_H.4,ASA_P.4,Atom count (C),Atom count (N),molecular,Balaban index,Bond count,Carboaliphatic ring count,Carboaromatic ring count,Carbo ring count,Chain atom count,Chiral center count,Cyclomatic number,donorcount,donsitecount,Heteroaliphatic ring count,Hyper wiener index,Largest ring size,Length perpendicular to the max area,Length perpendicular to the min area,Maximal projection area,Maximal projection radius,Length perpendicular to the max area.1,Minimal projection area,Minimal projection radius,Length perpendicular to the min area.1,molecular.1,Polar surface area,Refractivity,Ring atom count,Rotatable bond count,Smallest ring size,Van der Waals surface area (3D),van der Waals volume,Wiener index,Wiener polarity,Molecular weight,Exact molecular weight,Aliphatic atom count,Heteroaromatic ring count,acceptorcount.1,acceptorcount.2,donorcount.1,donorcount.2,ASA+.5,ASA+.6,Van der Waals surface area (3D).1,Van der Waals surface area (3D).2,ASA+.7,ASA+.8,Van der Waals surface area (3D).3,Van der Waals surface area (3D).4,Polar surface area.1,Polar surface area.2,Polar surface area.3,Polar surface area.4
NCCCN,2,2,0,0,0,245.19,175.86,69.33,220.15,25.04,245.19,175.86,69.33,220.15,25.04,245.19,175.86,69.33,220.15,25.04,245.19,175.86,69.33,220.15,25.04,245.19,175.86,69.33,220.15,25.04,3,2,9.06,2.19,14,0,0,0,5,0,0,2,4,0,35,0,5.18,8.71,33.25,4.47,5.18,19.49,2.74,8.71,9.32,52.04,22.73,0,2,0,152.32,85.98,20,2,74.127,74.08439833,5,0,2,0,2,2,175.86,197.61,152.32,162.05,175.86,197.61,152.32,162.05,52.04,55.28,52.04,55.28
CN(C)CCN(C)C,2,2,0,0,0,371.14,275.21,95.94,358.2,12.94,371.14,275.21,95.94,358.2,12.94,371.14,275.21,95.94,358.2,12.94,371.14,275.21,95.94,358.2,12.94,371.14,275.21,95.94,358.2,12.94,6,2,14.87,2.93,23,0,0,0,8,0,0,0,0,0,161,0,6.04,10.23,46.29,5.18,6.04,28.19,3.27,10.23,14.86,6.48,38.01,0,3,0,264.85,139.66,74,5,116.208,116.13134852299999,8,0,2,1,0,1,275.21,274.77,264.85,268.93,275.21,274.77,264.85,268.93,6.48,7.68,6.48,7.68
NCCNCCN,3,3,0,0,0,294.37,261.77,32.6,261.77,32.6,294.37,261.77,32.6,261.77,32.6,294.37,261.77,32.6,261.77,32.6,294.37,261.77,32.6,261.77,32.6,294.37,261.77,32.6,261.77,32.6,4,3,12.42,2.45,19,0,0,0,7,0,0,3,5,0,126,0,5.13,10.46,41.84,5.35,5.13,22.86,3.09,10.46,12.69,64.07,30.59,0,4,0,203.81,115.4,56,4,103.169,103.110947431,7,0,3,1,3,3,261.77,249.6,203.81,213.33,261.77,249.6,203.81,213.33,64.07,67.31,64.07,67.31
CC1CNCC(C)N1,2,2,1,0,0,291.97,238.46,53.51,278.67,13.31,291.97,238.46,53.51,278.67,13.31,291.97,238.46,53.51,278.67,13.31,291.97,238.46,53.51,278.67,13.31,291.97,238.46,53.51,278.67,13.31,6,2,13.92,2.23,22,0,0,0,2,2,1,2,2,1,110,6,5.53,9.13,44.95,4.57,5.53,27.7,3.76,9.13,14.12,24.06,34.29,6,0,6,224.8,126.88,61,7,114.19200000000001,114.115698459,8,0,2,1,2,2,238.46,238.49,224.8,227.88,238.46,238.49,224.8,227.88,24.06,28.64,24.06,28.64
CC(C)NCCNC(C)C,2,2,0,0,0,421.31,327.38,93.93,408.85,12.47,421.31,327.38,93.93,408.85,12.47,421.31,327.38,93.93,408.85,12.47,421.31,327.38,93.93,408.85,12.47,421.31,327.38,93.93,408.85,12.47,8,2,19.0,2.91,29,0,0,0,10,0,0,2,2,0,412,0,6.19,12.84,56.66,6.46,6.19,28.29,3.29,12.84,18.55,24.06,45.75,0,5,0,316.09,172.09,151,7,144.262,144.162648652,10,0,2,0,2,2,327.38,311.46,316.09,321.23,327.38,311.46,316.09,321.23,24.06,33.22,24.06,33.22
CCCCN(CCCC)CCCN,2,2,0,0,0,495.83,372.39,123.44,480.85,14.98,495.83,372.39,123.44,480.85,14.98,495.83,372.39,123.44,480.85,14.98,495.83,372.39,123.44,480.85,14.98,495.83,372.39,123.44,480.85,14.98,11,2,25.24,3.47,38,0,0,0,13,0,0,1,2,0,885,0,5.93,12.82,79.02,6.5,5.93,48.11,6.07,12.82,24.09,29.26,60.55,0,9,0,406.84,223.37,300,12,186.343,186.209598845,13,0,2,0,1,2,372.39,374.44,406.84,415.96,372.39,374.44,406.84,415.96,29.26,32.08,29.26,32.08
CC(N)CN,2,2,0,0,0,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,3,2,8.94,2.54,14,0,0,0,5,1,0,2,4,0,28,0,5.26,7.7,32.01,3.94,5.26,20.85,3.11,7.7,9.32,52.04,22.29,0,1,0,150.33,86.05,18,2,74.127,74.08439833,5,0,2,0,2,2,187.33,185.05,150.33,160.16,187.33,185.05,150.33,160.16,52.04,55.28,52.04,55.28
NC1CCCCCC1,1,1,1,0,0,251.95,200.66,51.29,244.31,7.64,251.95,200.66,51.29,244.31,7.64,251.95,200.66,51.29,244.31,7.64,251.95,200.66,51.29,244.31,7.64,251.95,200.66,51.29,244.31,7.64,7,1,14.26,2.17,23,1,0,1,1,0,1,1,2,0,109,7,6.21,8.28,43.49,4.34,6.21,30.07,3.79,8.28,14.45,26.02,35.53,7,0,7,227.86,130.95,61,9,113.204,113.120449487,8,0,1,0,1,1,200.66,203.98,227.86,233.22,200.66,203.98,227.86,233.22,26.02,27.64,26.02,27.64
CN1CCN(N)CC1,3,3,1,0,0,282.43,239.81,42.62,228.0,54.43,282.43,239.81,42.62,228.0,54.43,282.43,239.81,42.62,228.0,54.43,282.43,239.81,42.62,228.0,54.43,282.43,239.81,42.62,228.0,54.43,5,3,13.4,2.19,21,0,0,0,2,0,1,1,2,1,115,6,5.07,8.97,44.44,4.59,5.07,26.29,3.39,8.97,13.59,32.5,35.23,6,0,6,218.24,122.99,62,7,115.18,115.110947431,8,0,3,2,1,2,239.81,235.15,218.24,222.17,239.81,235.15,218.24,222.17,32.5,33.7,32.5,33.7
NC1CC1,1,1,1,0,0,212.22,156.12,56.1,198.25,13.97,212.22,156.12,56.1,198.25,13.97,212.22,156.12,56.1,198.25,13.97,212.22,156.12,56.1,198.25,13.97,212.22,156.12,56.1,198.25,13.97,3,1,6.86,2.17,11,1,0,1,1,0,1,1,2,0,10,3,5.4,5.85,24.01,3.25,5.4,19.82,2.89,5.85,7.06,26.02,17.13,3,0,3,113.27,62.42,8,0,57.096000000000004,57.057849229,4,0,1,0,1,1,156.12,189.17,113.27,117.61,156.12,189.17,113.27,117.61,26.02,27.64,26.02,27.64
