Compound,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
NCCCN,5.059027777777778,0.71875,5.059027777777778,0.71875,0.4545118096621342,74.127,64.047,74.08439831999999,32,0,-0.006525301694988354,-0.3304248767717123,0.3304248767717123,0.006525301694988354,1.0,1.4,1.4,2.19060968716425,12.36452797660028,4.121320343559642,3.276020881938894,3.276020881938894,2.414213562373095,1.8164965809277258,1.8164965809277258,0.9309036597828995,0.9309036597828995,0.40824829046386296,0.40824829046386296,0.11785113019775792,0.11785113019775792,-0.08,11.245112497836532,4.920000000000001,3.9200000000000004,3.92,32.1489166506482,11.46733495432437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.51033443475116,0.0,0.0,0.0,0.0,0.0,0.0,11.46733495432437,6.4208216229260096,13.08951281182515,0.0,0.0,0.0,11.46733495432437,0.0,0.0,0.0,13.08951281182515,0.0,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,52.04,0.0,0.0,0.0,0.0,0.0,19.51033443475116,0.0,0.0,0.0,0.0,11.46733495432437,0.0,0.0,0.0,0.0,10.118055555555555,0.0,0.0,0.9444444444444444,1.4375,0.0,1.0,5,4,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,-0.7060999999999997,22.7258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN(C)CCN(C)C,2.1805555555555554,1.1458333333333335,2.1805555555555554,1.1458333333333335,0.5161468615075413,116.208,100.07999999999998,116.13134851199999,50,0,0.010302166647773276,-0.30812909223378815,0.30812909223378815,0.010302166647773276,0.75,1.0,1.125,2.9278193611827583,42.49022499567306,6.568914100752346,6.308640753373011,6.308640753373011,3.625897657686229,2.9213099140335075,2.9213099140335075,2.606551850567225,2.606551850567225,0.9944271909999156,0.9944271909999156,0.39999999999999986,0.39999999999999986,-0.08,40.339203954130696,7.919999999999998,3.8663320069380673,5.92,52.08362894021931,9.799819461700956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.19068793070876,13.08951281182515,0.0,0.0,0.0,0.0,9.799819461700956,0.0,0.0,41.28020074253391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.080020204234856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48,0.0,0.0,0.0,0.0,0.0,13.08951281182515,0.0,0.0,0.0,37.99050739240972,0.0,0.0,0.0,4.361111111111111,0.0,0.0,0.0,0.0,0.0,2.291666666666667,8.347222222222221,1.0,8,0,2,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0.10959999999999992,37.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCCNCCN,5.165972222222222,0.6944444444444444,5.165972222222222,0.6944444444444444,0.37910128567036666,103.16900000000001,90.065,103.11094741599999,44,0,0.007498860586664965,-0.32920809024231995,0.32920809024231995,0.007498860586664965,1.0,1.4285714285714286,1.7142857142857142,2.447472887876344,26.115877901113386,5.535533905932738,4.483127663125441,4.483127663125441,3.414213562373095,2.5236033621142733,2.5236033621142733,1.3273502691896257,1.3273502691896257,0.6422285251880866,0.6422285251880866,0.32912414523193145,0.32912414523193145,-0.12,35.509609925153406,6.880000000000001,5.88,5.88,44.06372094865284,16.784123558330702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1790256236503,0.0,0.0,0.0,0.0,5.316788604006331,11.46733495432437,0.0,26.1790256236503,0.0,0.0,0.0,16.784123558330702,0.0,0.0,0.0,26.1790256236503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.07,0.0,0.0,0.0,0.0,13.08951281182515,13.08951281182515,0.0,0.0,0.0,5.316788604006331,11.46733495432437,0.0,0.0,0.0,3.0347222222222223,10.331944444444444,0.0,0.0,0.0,3.1333333333333337,0.0,1.0,7,5,3,0,0,0,0,0,0,3,3,3,4,0,0,0,0,-1.506599999999999,30.978499999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
CC1CNCC(C)N1,3.416666666666667,0.6516203703703702,3.416666666666667,0.6516203703703702,0.46139618815909966,114.192,100.08,114.11569844799999,48,0,0.01667180959196162,-0.31365704838270725,0.31365704838270725,0.01667180959196162,1.125,1.625,1.875,2.2306376583301173,64.92878689342031,5.983127663125442,5.568914100752346,5.568914100752346,3.787693700234704,3.2556541696831514,3.2556541696831514,2.627010097711745,2.627010097711745,1.470083164019457,1.470083164019457,1.1198994258188266,1.1198994258188266,-0.08,64.0524865010122,6.046262626262625,2.464484911550468,1.4562252861602496,50.65785481349944,10.633577208012662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.847474399381248,25.17319447012107,0.0,0.0,0.0,0.0,10.633577208012662,0.0,25.93115605767717,13.08951281182515,0.0,0.0,0.0,10.633577208012662,0.0,0.0,0.0,25.17319447012107,0.0,0.0,13.847474399381248,0.0,0.0,0.0,0.0,24.06,0.0,0.0,0.0,0.0,12.083681658295921,13.08951281182515,0.0,0.0,0.0,24.48105160739391,0.0,0.0,0.0,0.0,6.7384259259259265,0.0,0.0,1.3032407407407405,0.0,6.625,0.0,1.0,8,2,2,0,1,1,0,0,0,2,2,2,0,0,1,1,1,-0.043800000000000006,34.92939999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)NCCNC(C)C,3.3383333333333334,0.6055205971277398,3.3383333333333334,0.6055205971277398,0.5620924019434445,144.26199999999997,124.10199999999999,144.16264864,62,0,0.007913928821041954,-0.3132697774036786,0.3132697774036786,0.007913928821041954,0.8,1.1,1.3,2.909471975439737,59.65784284662087,7.983127663125442,7.568914100752346,7.568914100752346,4.625897657686229,4.093858127134676,4.093858127134676,3.2176493672223665,3.2176493672223665,1.230171715522539,1.230171715522539,0.7216878364870322,0.7216878364870322,-0.08,116.61674541783222,9.92,5.685803850156088,7.919999999999998,64.39357019582188,10.633577208012662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.694948798762496,0.0,25.17319447012107,0.0,0.0,0.0,0.0,10.633577208012662,0.0,39.77863045705841,13.08951281182515,0.0,0.0,0.0,10.633577208012662,0.0,0.0,0.0,25.17319447012107,0.0,0.0,27.694948798762496,0.0,0.0,0.0,0.0,24.06,0.0,0.0,0.0,0.0,12.083681658295921,13.08951281182515,0.0,0.0,0.0,38.32852600677516,0.0,0.0,0.0,0.0,6.676666666666666,0.0,0.0,1.2110411942554797,0.0,10.77895880574452,0.0,1.0,10,2,2,0,0,0,0,0,0,2,2,2,5,0,0,0,0,0.9823999999999997,46.277400000000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CCCCN(CCCC)CCCN,5.50746519904258,0.828125,5.50746519904258,0.828125,0.5981543133705358,186.34299999999993,160.135,186.20959883199998,80,0,-0.0006718772401562659,-0.33042458627812876,0.33042458627812876,0.0006718772401562659,0.8461538461538461,1.3076923076923077,1.6923076923076923,3.467990238339422,75.07151853947781,9.941311299868556,9.388524895368514,9.388524895368514,6.346065214951232,5.771145150887472,5.771145150887472,3.6909760928745072,3.6909760928745072,2.3342558734942496,2.3342558734942496,1.4137454488092702,1.4137454488092702,-0.08,758.5118062972541,12.919999999999998,10.003892617449665,8.255570469798657,83.48839653901173,10.633577208012664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.689117645233267,45.44149049242832,0.0,0.0,0.0,0.0,0.0,4.899909730850478,5.733667477162185,45.95158251401129,26.1790256236503,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,31.078935354500782,0.0,0.0,45.95158251401129,0.0,0.0,0.0,0.0,29.259999999999998,0.0,0.0,0.0,0.0,0.0,12.965578028838586,45.31755570944177,0.0,0.0,18.747384130231726,5.733667477162185,0.0,0.0,2.555416666666667,0.0,5.50746519904258,0.0,0.0,6.395337301587302,9.041780832703452,0.0,1.0,13,2,2,0,0,0,0,0,0,2,1,2,9,0,0,0,0,2.2374,59.92740000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(N)CN,5.166666666666667,0.16203703703703676,5.166666666666667,0.16203703703703676,0.4315259494144723,74.127,64.047,74.08439831999999,32,0,0.01338908193061472,-0.3289419845734186,0.3289419845734186,0.01338908193061472,1.8,2.0,2.0,2.5395388613593903,18.854752972273346,4.284457050376173,3.4391575887554247,3.4391575887554247,2.270055610029662,1.7271801834506855,1.7271801834506855,1.2129861445882282,1.2129861445882282,0.37178502388347023,0.37178502388347023,0.0,0.0,-0.08,9.65148445440323,4.920000000000001,2.1751020408163266,3.92,32.1489166506482,11.46733495432437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,12.586597235060536,0.0,0.0,0.0,0.0,0.0,11.46733495432437,12.965578028838586,6.544756405912575,0.0,0.0,0.0,11.46733495432437,0.0,0.0,0.0,12.586597235060536,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,52.04,0.0,0.0,0.0,6.041840829147961,6.544756405912575,0.0,0.0,0.0,6.923737199690624,0.0,11.46733495432437,0.0,0.0,0.0,0.0,10.212962962962962,0.0,0.16203703703703676,0.0,2.4583333333333335,0.0,1.0,5,4,2,0,0,0,0,0,0,2,2,2,1,0,0,0,0,-0.7077,22.703800000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC1CCCCCC1,5.7347222222222225,0.5254629629629628,5.7347222222222225,0.5254629629629628,0.474993618140869,113.20400000000001,98.08399999999997,113.12044947999999,48,0,0.00387784400780859,-0.32771175382437046,0.32771175382437046,0.00387784400780859,0.875,1.375,1.875,2.1659635854873978,53.407165571558394,5.819990956308912,5.397341225498536,5.397341225498536,3.893846850117352,3.6498299142610593,3.6498299142610593,2.7516434869485646,2.7516434869485646,1.8998299142610593,1.8998299142610593,1.3109434874758215,1.3109434874758215,-0.04,85.39865212877876,6.085628140703518,3.079539221938775,1.8263903061224485,51.26296325769269,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.683286491704038,12.841643245852019,6.041840829147961,0.0,0.0,0.0,0.0,0.0,5.733667477162185,44.56677056670402,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,6.041840829147961,0.0,0.0,38.524929737556064,0.0,0.0,0.0,0.0,26.02,0.0,0.0,0.0,0.0,6.041840829147961,0.0,38.524929737556064,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,0.0,5.7347222222222225,0.0,0.5254629629629628,8.073148148148148,0.0,0.0,1.0,8,2,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1.6679,35.6774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCN(N)CC1,5.503611111111111,1.0104166666666665,5.503611111111111,1.0104166666666665,0.41553574967804713,115.18,102.076,115.11094741599999,48,0,0.025640926783834634,-0.3037139635537011,0.3037139635537011,0.025640926783834634,1.125,1.625,2.0,2.1923771580194713,56.07403392114698,5.983127663125442,5.300204584935731,5.300204584935731,3.787693700234704,2.970323549314471,2.970323549314471,2.3392446902036603,2.3392446902036603,1.5378680172807946,1.5378680172807946,0.8219195640625229,0.8219195640625229,-0.12,70.79892376087899,6.006903553299492,2.436852267698208,1.434508351226868,50.022882389541174,4.899909730850478,0.0,0.0,0.0,0.0,0.0,5.842670270266239,5.008912523954532,0.0,0.0,0.0,7.04767198267719,26.1790256236503,0.0,0.0,0.0,0.0,9.90882225480501,5.842670270266239,0.0,33.22669760632749,0.0,0.0,0.0,5.842670270266239,0.0,0.0,0.0,43.1355198611325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,26.1790256236503,0.0,0.0,5.008912523954532,11.947581713527669,5.842670270266239,0.0,0.0,2.281111111111111,1.8611111111111112,0.0,5.503611111111111,0.0,0.0,4.236111111111111,2.1180555555555554,1.0,8,2,3,0,1,1,0,0,0,3,1,3,0,0,1,1,1,-0.8924999999999987,33.2574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC1CC1,5.222222222222222,0.583333333333333,5.222222222222222,0.583333333333333,0.41922050844055486,57.096,50.03999999999999,57.057849223999995,24,0,0.003993210959783164,-0.3277096991313575,0.3277096991313575,0.003993210959783164,1.5,1.75,1.75,2.171098317873574,22.464393446710154,2.9915638315627207,2.5689141007523464,2.5689141007523464,1.893846850117352,1.6498299142610593,1.6498299142610593,1.3374299245754704,1.3374299245754704,0.6220084679281462,0.6220084679281462,0.09622504486493764,0.09622504486493764,-0.04,14.0,2.212525252525253,0.4622112382934443,0.20616508400292186,25.803194800106255,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,6.041840829147961,0.0,0.0,0.0,0.0,0.0,5.733667477162185,18.88348407499998,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,6.041840829147961,0.0,0.0,12.841643245852019,0.0,0.0,0.0,0.0,26.02,0.0,0.0,0.0,0.0,6.041840829147961,0.0,12.841643245852019,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,0.0,5.222222222222222,0.0,0.583333333333333,2.5277777777777777,0.0,0.0,1.0,4,2,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0.10749999999999993,17.2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
